3209,"Bush Westfield Collection Bookcases, Fully Assembled",Barry Gonzalez,40672,-159.21,100.98,35.84,Quebec,Bookcases,0.62
3210,V8160,Michelle Huthwaite,40833,844.82,65.99,2.5,Quebec,Telephones and Communication,0.56
3211,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Light Blue",Tom Stivers,41441,-108.20,4.91,5.68,Quebec,Binders and Binder Accessories,0.36
3212,Hon Comfortask� Task/Swivel Chairs,Vivek Sundaresam,43076,-176.91,113.98,30,Quebec,Chairs & Chairmats,0.69
3213,Xerox 200,Vivian Mathis,43233,-71.91,6.48,6.35,Quebec,Paper,0.37
3214,Xerox 194,Greg Tran,43332,559.38,55.48,14.3,Quebec,Paper,0.37
3215,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,Rick Reed,43362,4276.73,350.98,30,Quebec,Chairs & Chairmats,0.61
3216,Prang Dustless Chalk Sticks,Rick Reed,43362,2.72,1.68,1,Quebec,Pens & Art Supplies,0.35
3217,"Fellowes Premier Superior Surge Suppressor, 10-Outlet, With Phone and Remote",Michelle Huthwaite,43488,483.67,48.92,4.5,Quebec,Appliances,0.59
3218,Park Ridge� Embossed Executive Business Envelopes,Michelle Huthwaite,43488,399.12,15.57,1.39,Quebec,Envelopes,0.38
3219,"DAX Contemporary Wood Frame with Silver Metal Mat, Desktop, 11 x 14 Size",Michelle Huthwaite,43488,42.39,20.24,6.67,Quebec,Office Furnishings,0.49
3220,"GBC White Gloss Covers, Plain Front",Michelle Huthwaite,43488,6.77,14.48,6.46,Quebec,Binders and Binder Accessories,0.38
3221,Hewlett Packard 610 Color Digital Copier / Printer,Michelle Huthwaite,43488,-1569.06,449.99,24.49,Quebec,Copiers and Fax,0.4
3222,"Peel & Seel� Recycled Catalog Envelopes, Brown",Barry Gonzalez,43526,-2.23,11.58,6.97,Quebec,Envelopes,0.35
3223,Eldon Jumbo ProFile� Portable File Boxes Graphite/Black,Barry Gonzalez,43526,-43.22,15.31,8.78,Quebec,Storage & Organization,0.57
3224,"Executive Impressions 12"" Wall Clock",Gary McGarr,44134,50.04,17.67,8.99,Quebec,Office Furnishings,0.47
3225,3390,Cynthia Delaney,44196,-83.47,65.99,5.31,Quebec,Telephones and Communication,0.57
3226,Hon Rectangular Conference Tables,Cynthia Delaney,44358,547.04,227.55,32.48,Quebec,Tables,0.68
3227,Xerox 1940,Vivek Sundaresam,44480,448.24,54.96,10.75,Quebec,Paper,0.36
3228,"OIC Colored Binder Clips, Assorted Sizes",Vivek Sundaresam,44546,4.26,3.58,1.63,Quebec,Rubber Bands,0.36
3229,Global Troy� Executive Leather Low-Back Tilter,Ross DeVincentis,44647,6888.36,500.98,26,Quebec,Chairs & Chairmats,0.6
3230,Recycled Eldon Regeneration Jumbo File,Ross DeVincentis,44647,-36.76,12.28,6.13,Quebec,Storage & Organization,0.57
3231,"Sauder Facets Collection Locker/File Cabinet, Sky Alder Finish",Vivek Gonzalez,45376,-555.98,370.98,99,Quebec,Storage & Organization,0.65
3232,Belkin 105-Key Black Keyboard,Tom Stivers,46115,-37.99,19.98,4,Quebec,Computer Peripherals,0.68
3233,Xerox 1881,Tom Stivers,46115,44.04,12.28,6.47,Quebec,Paper,0.38
3234,SAFCO Folding Chair Trolley,Tom Stivers,47109,1844.96,128.24,12.65,Quebec,Chairs & Chairmats,
3235,Logitech Access Keyboard,Vivek Sundaresam,47556,108.21,15.98,4,Quebec,Computer Peripherals,0.37
3236,"Acco PRESSTEX� Data Binder with Storage Hooks, Dark Blue, 9 1/2"" X 11""",Gary McGarr,47712,-243.87,5.38,7.57,Quebec,Binders and Binder Accessories,0.36
3237,Canon PC-428 Personal Copier,Matt Collister,48135,631.33,199.99,24.49,Quebec,Copiers and Fax,0.46
3238,Hoover Commercial Soft Guard Upright Vacuum And Disposable Filtration Bags,Vivian Mathis,48161,-95.64,7.77,9.23,Quebec,Appliances,0.58
3239,A1228,Vivian Mathis,48161,1197.86,195.99,8.99,Quebec,Telephones and Communication,0.58
3240,White GlueTop Scratch Pads,Barry Gonzalez,48515,327.45,15.04,1.97,Quebec,Paper,0.39
3241,Newell 338,Matt Collister,48642,19.36,2.94,0.7,Quebec,Pens & Art Supplies,0.58
3242,T60,Matt Collister,48642,1332.91,95.99,4.9,Quebec,Telephones and Communication,0.56
3243,Novimex Turbo Task Chair,Vivek Sundaresam,50567,-436.23,70.98,30,Quebec,Chairs & Chairmats,0.73
3244,Eldon� Wave Desk Accessories,Michelle Huthwaite,51623,-66.58,2.08,5.33,Quebec,Office Furnishings,0.43
3245,GBC Standard Therm-A-Bind Covers,Greg Tran,52194,-5.04,24.92,12.98,Quebec,Binders and Binder Accessories,0.39
3246,O'Sullivan Living Dimensions 2-Shelf Bookcases,Greg Tran,52194,-483.12,120.98,78.64,Quebec,Bookcases,0.75
3247,Newell 315,Michelle Tran,52291,57.28,5.98,0.96,Quebec,Pens & Art Supplies,0.6
