2407,"Global Airflow Leather Mesh Back Chair, Black",George Ashbrook,45190,135.26,150.98,43.71,Ontario,Chairs & Chairmats,0.55
2408,Euro Pro Shark Stick Mini Vacuum,George Ashbrook,45414,-563.86,60.98,49,Ontario,Appliances,0.59
2409,Fellowes Superior 10 Outlet Split Surge Protector,Nat Carroll,45700,518.48,38.06,4.5,Ontario,Appliances,0.56
2410,Hon Olson Stacker Stools,Duane Huffman,45824,1232.79,140.81,24.49,Ontario,Chairs & Chairmats,0.57
2411,"Bush Westfield Collection Bookcases, Fully Assembled",George Ashbrook,45991,-68.16,100.98,35.84,Ontario,Bookcases,0.62
2412,Avery 506,George Ashbrook,45991,82.60,4.13,0.5,Ontario,Labels,0.39
2413,Xerox Blank Computer Paper,Jonathan Howell,46307,175.97,19.98,5.77,Ontario,Paper,0.38
2414,"SAFCO Mobile Desk Side File, Wire Frame",Jonathan Howell,46307,283.14,42.76,6.22,Ontario,Storage & Organization,
2415,Large Capacity Hanging Post Binders,David Philippe,46434,270.29,24.95,2.99,Ontario,Binders and Binder Accessories,0.39
2416,"Eldon Delta Triangular Chair Mat, 52"" x 58"", Clear",Matt Hagelstein,46466,71.31,37.93,13.99,Ontario,Office Furnishings,0.67
2417,"Tenex Carpeted, Granite-Look or Clear Contemporary Contour Shape Chair Mats",Edward Nazzal,46528,-865.98,70.71,37.58,Ontario,Office Furnishings,0.78
2418,Xerox 1939,Edward Nazzal,46528,57.25,18.97,9.54,Ontario,Paper,0.37
2419,Global Deluxe Office Fabric Chairs,Magdelene Morse,46626,-276.95,95.98,58.2,Ontario,Chairs & Chairmats,0.58
2420,Hayes Optima 56K V.90 Internal Voice Modem,Eudokia Martin,46853,1489.80,256.99,11.25,Ontario,Computer Peripherals,0.51
2421,Tenex B1-RE Series Chair Mats for Low Pile Carpets,Darren Budd,46855,-4.68,1.68,0.7,Ontario,Office Furnishings,0.68
2422,Adesso Programmable 142-Key Keyboard,Jesus Ocampo,46919,174.61,152.48,6.5,Ontario,Computer Peripherals,0.74
2423,Tuff Stuff� Recycled Round Ring Binders,Allen Golden,46977,7.25,4.82,1.49,Ontario,Binders and Binder Accessories,0.36
2424,2180,Allen Golden,46977,494.63,175.99,8.99,Ontario,Telephones and Communication,0.57
2425,"Binney & Smith Crayola� Metallic Colored Pencils, 8-Color Set",Cynthia Arntzen,47041,-7.08,4.63,1.93,Ontario,Pens & Art Supplies,0.52
2426,Sensible Storage WireTech Storage Systems,Eileen Kiefer,47301,-231.95,70.98,35,Ontario,Storage & Organization,0.8
2427,Balt Solid Wood Rectangular Table,Philip Brown,47714,-690.21,105.49,41.64,Ontario,Tables,0.75
2428,"Imation 3.5"" DS/HD IBM Formatted Diskettes, 10/Pack",Darren Budd,48003,-106.54,5.98,4.38,Ontario,Computer Peripherals,0.75
2429,"Executive Impressions 14"" Two-Color Numerals Wall Clock",Darren Budd,48003,-69.05,6.48,9.68,Ontario,Office Furnishings,0.44
2430,6162m,Ruben Ausman,48195,850.54,115.99,2.5,Ontario,Telephones and Communication,0.57
2431,Accessory41,Ruben Ausman,48195,296.87,35.99,5.99,Ontario,Telephones and Communication,0.38
2432,iDENi80s,Ruben Ausman,48195,47.28,65.99,19.99,Ontario,Telephones and Communication,0.59
2433,Canon MP41DH Printing Calculator,Eileen Kiefer,48357,619.71,150.98,13.99,Ontario,Office Machines,0.38
2434,Avery 506,George Bell,48615,0.21,4.13,0.5,Ontario,Labels,0.39
2435,"C-Line Cubicle Keepers Polyproplyene Holder w/Velcro� Back, 8-1/2x11, 25/Bx",George Bell,48615,219.02,54.74,14.83,Ontario,Office Furnishings,0.54
2436,Staples 4 Outlet Surge Protector,Matt Collister,48642,-13.72,8.67,3.5,Ontario,Appliances,0.58
2437,Logitech Cordless Elite Duo,Matt Collister,48642,-122.09,100.98,7.18,Ontario,Computer Peripherals,0.4
2438,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6� x 11�",Cynthia Arntzen,48710,-1.73,6.98,1.6,Ontario,Paper,0.38
2439,Belkin MediaBoard 104- Keyboard,Brian Stugart,49094,-25.98,27.48,4,Ontario,Computer Peripherals,0.75
2440,HP Office Recycled Paper (20Lb. and 87 Bright),Edward Becker,49125,-116.05,5.78,7.64,Ontario,Paper,0.36
2441,Newell 342,Noah Childs,49216,-72.44,3.28,3.97,Ontario,Pens & Art Supplies,0.56
2442,"Westinghouse Floor Lamp with Metal Mesh Shade, Black",Darren Budd,49538,217.57,26.38,5.58,Ontario,Office Furnishings,0.62
2443,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,Dave Hallsten,49730,-394.69,350.98,30,Ontario,Chairs & Chairmats,0.61
2444,Storex DuraTech Recycled Plastic Frosted Binders,Edward Nazzal,49924,-155.53,4.24,5.41,Ontario,Binders and Binder Accessories,0.35
2445,Eldon Pizzaz� Desk Accessories,Edward Nazzal,49924,-35.96,2.23,4.57,Ontario,Office Furnishings,0.41
2446,GBC DocuBind P50 Personal Binding Machine,Anemone Ratner,50306,564.07,63.98,11.55,Ontario,Binders and Binder Accessories,0.38
2447,Staples 4 Outlet Surge Protector,Dan Lawera,50566,-37.43,8.67,3.5,Ontario,Appliances,0.58
2448,Logitech Cordless Elite Duo,Nancy Lomonaco,50823,269.94,100.98,7.18,Ontario,Computer Peripherals,0.4
2449,Cardinal Holdit Business Card Pockets,Dan Lawera,50854,-64.24,4.98,4.95,Ontario,Binders and Binder Accessories,0.37
2450,"Hewlett-Packard cp1700 [D, PS] Series Color Inkjet Printers",Dan Lawera,50854,1118.17,500.98,28.14,Ontario,Office Machines,0.38
2451,Fiskars� Softgrip Scissors,Dan Lawera,50854,25.79,10.98,3.37,Ontario,"Scissors, Rulers and Trimmers",0.57
2452,EcoTones� Memo Sheets,Theresa Coyne,51109,26.21,4,1.3,Ontario,Paper,0.37
2453,Avery 484,Lena Creighton,51395,32.50,2.88,0.5,Ontario,Labels,0.36
2454,Xerox 1952,Lena Creighton,51395,-32.13,4.98,5.49,Ontario,Paper,0.38
