402,Global Deluxe High-Back Office Chair in Storm,Michelle Lonsdale,45440,-183.60,135.99,28.63,Northwest Territories,Chairs & Chairmats,0.76
403,"Howard Miller 16"" Diameter Gallery Wall Clock",Charlotte Melton,45766,1026.07,63.94,14.48,Northwest Territories,Office Furnishings,0.46
404,Canon MP100DHII Printing Calculator,Charlotte Melton,45766,1765.48,140.99,13.99,Northwest Territories,Office Machines,0.37
405,Accessory21,Allen Rosenblatt,45861,319.10,20.99,0.99,Northwest Territories,Telephones and Communication,0.37
406,Verbatim DVD-R 4.7GB authoring disc,Neola Schneider,45957,162.83,39.24,1.99,Northwest Territories,Computer Peripherals,0.51
407,"Rediform Wirebound ""Phone Memo"" Message Book, 11 x 5-3/4",Neola Schneider,45957,-30.92,7.64,5.83,Northwest Territories,Paper,0.36
408,"C-Line Cubicle Keepers Polyproplyene Holder w/Velcro� Back, 8-1/2x11, 25/Bx",Joy Bell,46912,181.53,54.74,14.83,Northwest Territories,Office Furnishings,0.54
409,Avery 51,Monica Federle,46980,103.16,6.3,0.5,Northwest Territories,Labels,0.39
410,SANFORD Liquid Accent� Tank-Style Highlighters,Jamie Kunitz,47460,-3.64,2.84,0.93,Northwest Territories,Pens & Art Supplies,0.54
411,Avery Poly Binder Pockets,Susan Vittorini,47462,-166.92,3.58,5.47,Northwest Territories,Binders and Binder Accessories,0.37
412,"Dixon My First Ticonderoga Pencil, #2",Susan Vittorini,47462,-1.22,5.85,2.27,Northwest Territories,Pens & Art Supplies,0.56
413,Acco� Hot Clips� Clips to Go,Susan Vittorini,47462,21.62,3.29,1.35,Northwest Territories,Rubber Bands,0.4
414,Fiskars� Softgrip Scissors,Charles McCrossin,47620,20.27,10.98,3.37,Northwest Territories,"Scissors, Rulers and Trimmers",0.57
415,"Elite 5"" Scissors",Cari Schnelling,47749,-188.53,8.45,7.77,Northwest Territories,"Scissors, Rulers and Trimmers",0.55
416,Eldon Wave Desk Accessories,Doug Bickford,47873,-17.38,5.89,5.57,Northwest Territories,Office Furnishings,0.41
417,Avery 478,Don Miller,47943,24.06,4.91,0.5,Northwest Territories,Labels,0.36
418,Boston 16701 Slimline Battery Pencil Sharpener,Don Miller,47943,63.46,15.94,5.45,Northwest Territories,Pens & Art Supplies,0.55
419,Xerox 1982,Fred Wasserman,48101,-39.92,22.84,16.87,Northwest Territories,Paper,0.39
420,"Soundgear Copyboard Conference Phone, Optional Battery",Bryan Mills,48295,4938.78,204.1,13.99,Northwest Territories,Office Machines,0.37
421,"Dot Matrix Printer Tape Reel Labels, White, 5000/Box",Carlos Daly,48839,-37.06,98.31,0.49,Northwest Territories,Labels,0.36
422,Euro Pro Shark Stick Mini Vacuum,Joy Bell,49154,-807.89,60.98,49,Northwest Territories,Appliances,0.59
423,Panasonic KX-P1150 Dot Matrix Printer,Claudia Miner,49921,-280.28,145.45,17.85,Northwest Territories,Office Machines,0.56
424,Recycled Eldon Regeneration Jumbo File,Claudia Miner,49921,-7.26,12.28,6.13,Northwest Territories,Storage & Organization,0.57
425,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",Beth Thompson,49952,630.28,107.53,5.81,Northwest Territories,Office Furnishings,0.65
426,Avery 498,Allen Rosenblatt,50117,14.49,2.89,0.5,Northwest Territories,Labels,0.38
427,Premium Transparent Presentation Covers by GBC,Beth Thompson,50278,-27.53,20.98,8.83,Northwest Territories,Binders and Binder Accessories,0.37
428,"Barricks 18"" x 48"" Non-Folding Utility Table with Bottom Storage Shelf",Beth Thompson,50278,-355.94,100.8,60,Northwest Territories,Tables,0.59
429,GBC VeloBinder Electric Binding Machine,Susan Vittorini,50374,1443.35,120.98,9.07,Northwest Territories,Binders and Binder Accessories,0.35
430,Brown Kraft Recycled Envelopes,Sylvia Foulston,50565,-138.82,16.98,12.39,Northwest Territories,Envelopes,0.35
431,"Acme� 8"" Straight Scissors",Joy Bell,50688,27.86,12.98,3.14,Northwest Territories,"Scissors, Rulers and Trimmers",0.6
432,Bell Sonecor JB700 Caller ID,Becky Castell,50754,-58.34,7.99,5.03,Northwest Territories,Telephones and Communication,0.6
433,A1228,Carlos Daly,50914,2763.13,195.99,8.99,Northwest Territories,Telephones and Communication,0.58
434,"3M Polarizing Task Lamp with Clamp Arm, Light Gray",Cari Schnelling,51169,-192.92,136.98,24.49,Northwest Territories,Office Furnishings,0.59
435,8290,Jim Radford,51938,-488.31,125.99,5.63,Northwest Territories,Telephones and Communication,0.6
436,Hewlett-Packard Deskjet 5550 Color Inkjet Printer,Allen Rosenblatt,51970,-343.47,115.99,56.14,Northwest Territories,Office Machines,0.4
