4011,Keytronic French Keyboard,Stephanie Ulpright,27300,-85.03,73.98,4,Ontario,Computer Peripherals,0.79
4012,"Sanford EarthWrite� Recycled Pencils, Medium Soft, #2",Stephanie Ulpright,27300,0.26,2.1,0.7,Ontario,Pens & Art Supplies,0.57
4013,Avery File Folder Labels,Robert Marley,27557,-58.47,2.88,5.33,Ontario,Labels,0.36
4014,Security-Tint Envelopes,Lindsay Shagiari,27654,29.87,7.64,1.39,Ontario,Envelopes,0.36
4015,Staples Battery-Operated Desktop Pencil Sharpener,John Lucas,27684,-6.62,10.48,2.89,Ontario,Pens & Art Supplies,0.6
4016,Avery Self-Adhesive Photo Pockets for Polaroid Photos,Odella Nelson,27811,-73.62,6.81,5.48,Ontario,Binders and Binder Accessories,0.37
4017,Prismacolor Color Pencil Set,Arthur Prichep,28064,265.10,19.84,4.1,Ontario,Pens & Art Supplies,0.44
4018,"Quartet Omega� Colored Chalk, 12/Pack",Arthur Prichep,28064,-2.31,5.84,1,Ontario,Pens & Art Supplies,0.38
4019,"Carina 42""Hx23 3/4""W Media Storage Unit",Guy Phonely,28225,-330.14,80.98,35,Ontario,Storage & Organization,0.83
4020,i2000,Denny Blanton,28258,-604.41,125.99,2.5,Ontario,Telephones and Communication,0.6
4021,US Robotics 56K V.92 External Faxmodem,Denny Blanton,28258,293.66,99.99,19.99,Ontario,Computer Peripherals,0.52
4022,Avery 511,Steve Nguyen,28321,24.71,3.08,0.99,Ontario,Labels,0.37
4023,Xerox 215,Sean O'Donnell,28454,-84.00,6.48,6.74,Ontario,Paper,0.37
4024,8260,Sally Hughsby,29255,-136.09,65.99,8.99,Ontario,Telephones and Communication,0.58
4025,"Imation 3.5 IBM Formatted Diskettes, 10/Box",Jas O'Carroll,29383,-46.89,8.32,2.38,Ontario,Computer Peripherals,0.74
4026,Xerox 227,Jas O'Carroll,29383,-129.42,6.48,8.73,Ontario,Paper,0.37
4027,DPC 650 Piper,Jas O'Carroll,29383,556.83,115.99,2.5,Ontario,Telephones and Communication,0.58
4028,"Master Giant Foot� Doorstop, Safety Yellow",Jas O'Carroll,29383,16.97,7.59,4,Ontario,Office Furnishings,0.42
4029,Global Adaptabilities� Conference Tables,Sally Hughsby,29507,-679.04,280.98,35.67,Ontario,Tables,0.66
4030,Accessory35,Sally Hughsby,29507,416.99,35.99,1.1,Ontario,Telephones and Communication,0.55
