4412,"Master Caster Door Stop, Large Neon Orange",Jessica Myrick,39650,-175.15,7.28,7.98,Ontario,Office Furnishings,0.42
4413,Fellowes Stor/Drawer� Steel Plus� Storage Drawers,Jim Sink,39844,-286.47,95.43,19.99,Ontario,Storage & Organization,0.79
4414,Xerox 216,Jim Sink,40800,-175.26,6.48,7.91,Ontario,Paper,0.37
4415,Hon Non-Folding Utility Tables,Mark Cousins,40965,-385.00,159.31,60,Ontario,Tables,0.55
4416,Accessory36,Mark Cousins,40965,-139.84,55.99,5,Ontario,Telephones and Communication,0.83
4417,Avery Premier Heavy-Duty Binder with Round Locking Rings,John Castell,41316,21.00,14.28,2.99,Ontario,Binders and Binder Accessories,0.39
4418,3285,John Castell,41316,-787.70,205.99,5.99,Ontario,Telephones and Communication,0.59
4419,"Super Bands, 12/Pack",Mark Cousins,41476,-104.80,1.86,2.58,Ontario,Rubber Bands,0.82
4420,Xerox 1936,Kalyca Meade,41861,110.44,19.98,5.97,Ontario,Paper,0.38
4421,US Robotics 56K V.92 External Faxmodem,Lena Creighton,42274,241.15,99.99,19.99,Ontario,Computer Peripherals,0.52
4422,Eldon� 500 Class� Desk Accessories,Lena Creighton,42274,-28.81,12.07,6.2,Ontario,Office Furnishings,0.52
4423,Staples 6 Outlet Surge,Michael Dominguez,42882,-22.55,11.97,4.98,Ontario,Appliances,0.58
4424,Eldon� Wave Desk Accessories,Max Jones,43360,-178.29,2.08,5.33,Ontario,Office Furnishings,0.43
4425,12 Colored Short Pencils,Odella Nelson,43713,-17.69,2.6,2.4,Ontario,Pens & Art Supplies,0.58
4426,"SAFCO Mobile Desk Side File, Wire Frame",Max Jones,44322,43.55,42.76,6.22,Ontario,Storage & Organization,
4427,"Lifetime Advantage� Folding Chairs, 4/Carton",Clytie Kelty,44579,755.28,218.08,18.06,Ontario,Chairs & Chairmats,0.57
4428,Space Solutions Commercial Steel Shelving,Duane Benoit,44737,-309.48,64.65,35,Ontario,Storage & Organization,0.8
4429,Accessory25,Duane Benoit,44737,38.91,20.99,0.99,Ontario,Telephones and Communication,0.57
4430,"Sanford EarthWrite� Recycled Pencils, Medium Soft, #2",Max Jones,44738,6.87,2.1,0.7,Ontario,Pens & Art Supplies,0.57
