2808,Bagged Rubber Bands,Peter McVee,775,-19.17,1.26,0.7,Nova Scotia,Rubber Bands,0.81
2809,"Dixon Prang� Watercolor Pencils, 10-Color Set with Brush",Peter McVee,775,-1.25,4.26,1.2,Nova Scotia,Pens & Art Supplies,0.44
2810,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",Karen Carlisle,900,507.58,40.98,2.99,Nova Scotia,Binders and Binder Accessories,0.36
2811,Peel-Off� China Markers,Stefania Perrino,964,-1.28,9.93,1.09,Nova Scotia,Pens & Art Supplies,0.43
2812,"TDK 4.7GB DVD-R Spindle, 15/Pack",Jay Fine,2722,807.62,40.97,1.99,Nova Scotia,Computer Peripherals,0.42
2813,Hon 4070 Series Pagoda� Armless Upholstered Stacking Chairs,Paul Lucas,3078,-187.29,291.73,48.8,Nova Scotia,Chairs & Chairmats,0.56
2814,Global Adaptabilities� Conference Tables,George Zrebassa,3456,332.30,280.98,35.67,Nova Scotia,Tables,0.66
2815,Binder Posts,George Zrebassa,3556,-103.55,5.74,5.01,Nova Scotia,Binders and Binder Accessories,0.39
2816,"Soundgear Copyboard Conference Phone, Optional Battery",Karl Brown,3654,4031.62,204.1,13.99,Nova Scotia,Office Machines,0.37
2817,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,Karl Brown,3654,3160.63,279.81,23.19,Nova Scotia,Appliances,0.59
2818,Xerox 2,Evan Henry,3680,-61.75,6.48,6,Nova Scotia,Paper,0.37
2819,Boston 19500 Mighty Mite Electric Pencil Sharpener,Keith Herrera,3942,-42.61,20.15,8.99,Nova Scotia,Pens & Art Supplies,0.58
2820,Fellowes Staxonsteel� Drawer Files,Alyssa Tate,4162,-319.02,193.17,19.99,Nova Scotia,Storage & Organization,0.71
2821,Imation DVD-RAM discs,Michael Stewart,4896,259.47,35.41,1.99,Nova Scotia,Computer Peripherals,0.43
2822,i600,Michael Stewart,4896,-124.51,125.99,5.99,Nova Scotia,Telephones and Communication,0.56
2823,Honeywell Enviracaire� Portable Air Cleaner for up to 8 x 10 Room,Paul Lucas,4965,56.05,76.72,19.95,Nova Scotia,Appliances,0.54
2824,Dana Halogen Swing-Arm Architect Lamp,Shirley Jackson,5830,241.74,40.97,14.45,Nova Scotia,Office Furnishings,0.57
2825,Belkin 105-Key Black Keyboard,Barry Weirich,6116,-72.23,19.98,4,Nova Scotia,Computer Peripherals,0.68
2826,Fellowes Black Plastic Comb Bindings,Natalie Webber,6695,-279.93,5.81,8.49,Nova Scotia,Binders and Binder Accessories,0.39
2827,Hon Comfortask� Task/Swivel Chairs,Damala Kotsonis,6885,-181.27,113.98,30,Nova Scotia,Chairs & Chairmats,0.69
2828,"Acco Recycled 2"" Capacity Laser Printer Hanging Data Binders",Karen Carlisle,7458,-5.37,14.45,7.17,Nova Scotia,Binders and Binder Accessories,0.38
2829,Micro Innovations 104 Keyboard,Karen Carlisle,7458,-165.74,10.97,6.5,Nova Scotia,Computer Peripherals,0.64
2830,Xerox 1964,Natalie Webber,8807,-6.04,22.84,11.54,Nova Scotia,Paper,0.39
2831,V8162,Katherine Murray,9024,583.75,65.99,2.79,Nova Scotia,Telephones and Communication,0.56
2832,Fuji Slim Jewel Case CD-R,Hunter Lopez,9602,-24.87,2.12,1.99,Nova Scotia,Computer Peripherals,0.55
2833,Hon 4700 Series Mobuis� Mid-Back Task Chairs with Adjustable Arms,Eric Barreto,9894,103.83,355.98,58.92,Nova Scotia,Chairs & Chairmats,0.64
2834,Hon 61000 Series Interactive Training Tables,Barry Franz,10338,33.99,44.43,46.59,Nova Scotia,Tables,0.67
2835,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",Fred McMath,11011,-129.86,8.74,8.29,Nova Scotia,Envelopes,0.38
2836,Newell 337,Berenike Kampe,11271,-115.80,3.28,3.97,Nova Scotia,Pens & Art Supplies,0.56
2837,Deluxe Rollaway Locking File with Drawer,Dean Percer,12005,-164.59,415.88,11.37,Nova Scotia,Storage & Organization,0.57
2838,GBC DocuBind 200 Manual Binding Machine,Muhammed Lee,13284,3858.28,420.98,19.99,Nova Scotia,Binders and Binder Accessories,0.35
2839,Vinyl Sectional Post Binders,Muhammed Lee,13284,674.99,37.7,2.99,Nova Scotia,Binders and Binder Accessories,0.35
2840,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",Noel Staavos,13476,-121.39,52.99,19.99,Nova Scotia,Storage & Organization,0.81
2841,StarTAC ST7762,Bobby Trafton,14182,355.93,125.99,8.08,Nova Scotia,Telephones and Communication,0.57
2842,Airmail Envelopes,Rick Duston,14375,1110.35,83.93,19.99,Nova Scotia,Envelopes,0.38
2843,Avery Hanging File Binders,Karl Brown,14528,11.02,5.98,1.49,Nova Scotia,Binders and Binder Accessories,0.39
2844,Hammermill CopyPlus Copy Paper (20Lb. and 84 Bright),Karl Brown,14662,-66.26,4.98,4.75,Nova Scotia,Paper,0.36
2845,M70,Karl Brown,14662,1275.67,125.99,8.99,Nova Scotia,Telephones and Communication,0.59
2846,Staples #10 Colored Envelopes,Erica Hernandez,15009,61.09,7.78,2.5,Nova Scotia,Envelopes,0.38
2847,Acco� Hot Clips� Clips to Go,Tony Molinari,15619,20.57,3.29,1.35,Nova Scotia,Rubber Bands,0.4
2848,2180,Elizabeth Moffitt,15971,32.75,175.99,8.99,Nova Scotia,Telephones and Communication,0.57
2849,Carina Double Wide Media Storage Towers in Natural & Black,Harold Dahlen,16036,-818.32,80.98,35,Nova Scotia,Storage & Organization,0.81
2850,"Sanford Colorific Colored Pencils, 12/Box",David Flashing,16452,9.34,2.88,1.01,Nova Scotia,Pens & Art Supplies,0.55
2851,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",David Flashing,16548,-2595.65,71.37,69,Nova Scotia,Tables,0.68
2852,3M Organizer Strips,Berenike Kampe,17408,-132.63,5.4,7.78,Nova Scotia,Binders and Binder Accessories,0.37
2853,5180,Noel Staavos,17410,-247.24,65.99,8.99,Nova Scotia,Telephones and Communication,0.56
2854,Kensington 7 Outlet MasterPiece� HOMEOFFICE Power Control Center,Deanra Eno,18849,50.83,131.12,0.99,Nova Scotia,Appliances,0.55
2855,VTech VT20-2481 2.4GHz Two-Line Phone System w/Answering Machine,Fred McMath,19174,1142.08,179.99,13.99,Nova Scotia,Telephones and Communication,0.57
2856,V8160,Fred McMath,19174,152.75,65.99,2.5,Nova Scotia,Telephones and Communication,0.56
2857,"Imation Neon 80 Minute CD-R Spindle, 50/Pack",Fred McMath,19174,665.63,33.98,1.99,Nova Scotia,Computer Peripherals,0.45
2858,"AT&T Black Trimline Phone, Model 210",Chuck Sachs,20098,-61.10,15.99,9.4,Nova Scotia,Office Machines,0.49
2859,Computer Printout Paper with Letter-Trim Perforations,Chris Cortes,20711,-19.52,18.97,9.03,Nova Scotia,Paper,0.37
2860,"Avery Hi-Liter GlideStik Fluorescent Highlighter, Yellow Ink",Raymond Fair,20932,-4.73,3.26,1.86,Nova Scotia,Pens & Art Supplies,0.41
